record_origin,display_priority,dedupe_key,poi_id,name,city,region,country,primary_source,osm_id,wikidata_id,wikipedia_title,primary_category,display_categories,themes,review_status,is_active,short_description,base_significance_score,quality_score,walk_affinity_hint,drive_affinity_hint,historical_flag,cultural_flag,scenic_flag,infrastructure_flag,food_identity_flag,lon,lat,merge_note
database,50,osm:way/726571606,c012827e-ff35-457e-83e6-5e6b57eed8a7,Acres Estates,santa-fe,new-mexico,usa,osm_overpass,way/726571606,,,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,60.00,57.50,0.90,0.60,f,t,f,f,f,-106.03283727536227,35.635836325334196,
database,50,osm:node/13427348617,4264ec14-42da-4e34-b393-5238f7a81a63,Agua Fria Fire Camera,santa-fe,new-mexico,usa,osm_overpass,node/13427348617,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,72.50,0.55,0.90,f,f,f,t,f,-106.0147785,35.6671902,
database,50,osm:node/4576173952,ef7df0a3-fd67-4488-a8d6-ca3045393f21,Alexandra Stevens Gallery of Fine Art,santa-fe,new-mexico,usa,osm_overpass,node/4576173952,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,72.50,0.90,0.60,f,f,f,f,f,-105.9242965,35.6800219,
database,50,osm:node/6760507242,40037c66-ff49-4518-bd6b-d2e420dcd8f9,Alien Museum,santa-fe,new-mexico,usa,osm_overpass,node/6760507242,,,history,history,,needs_review,t,Museum or interpretive site with clear historical context.,64.00,67.50,0.75,0.75,t,f,f,f,f,-105.998555,35.6629731,
database,50,osm:node/7223700239,ab9d3d1a-e457-4369-b844-afca257492a2,Allan Houser Gallery,santa-fe,new-mexico,usa,osm_overpass,node/7223700239,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,80.00,0.90,0.60,f,f,f,f,f,-105.9381487,35.6888852,
database,50,osm:node/6629910978,08ed321e-0b60-4136-af8e-01109eb67b0e,Allen Stamm,santa-fe,new-mexico,usa,osm_overpass,node/6629910978,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,64.00,57.50,0.55,0.60,t,f,f,f,f,-105.9624628,35.6949618,
database,50,osm:node/4698366395,098fb757-fa81-4891-9192-39f755af3056,A. M. Bergere House,santa-fe,new-mexico,usa,osm_overpass,node/4698366395,Q68925697,Alfred M. Bergere House,history,history,,needs_review,t,Historic site with strong local landscape context.,72.00,75.00,0.55,0.90,t,f,f,f,f,-105.940011,35.6893375,
database,50,osm:way/324120147,9c13025f-88d6-4164-ba18-36769e4c192f,Amelia White Park,santa-fe,new-mexico,usa,osm_overpass,way/324120147,Q49472432,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,65.00,0.75,0.60,f,f,t,f,f,-105.93111706546998,35.67240495996957,
database,50,osm:node/8043891026,e1f6c51c-a681-43ed-ae67-0acad99fbe30,Antieau,santa-fe,new-mexico,usa,osm_overpass,node/8043891026,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,70.00,0.90,0.60,f,f,f,f,f,-105.938507,35.6891604,
database,50,osm:way/726587662,645ab128-b844-4df0-bd58-cb3785e1881c,Apostolic Assembly,santa-fe,new-mexico,usa,osm_overpass,way/726587662,,,culture,culture,,needs_review,t,Ritual or religious site with strong cultural continuity.,58.00,60.00,0.55,0.60,f,t,f,f,f,-106.03595206671234,35.6301141709742,
database,50,osm:node/11152035655,fadebc91-5303-42b7-8fea-87f9ee4bfad7,April 1863 Survey Marker,santa-fe,new-mexico,usa,osm_overpass,node/11152035655,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,64.00,57.50,0.55,0.60,t,f,f,f,f,-105.9380857,35.6880082,
database,50,osm:way/481295141,93305076-46ca-40b0-9954-f22de94013a1,Archbishop Lamy's Chapel,santa-fe,new-mexico,usa,osm_overpass,way/481295141,Q65053671,Archbishop_Lamy's_Chapel,history,history,,needs_review,t,Historic site with strong local landscape context.,75.00,80.00,0.55,0.90,t,f,f,f,f,-105.90958294444208,35.730098805699875,
database,50,osm:node/6813726310,58f8c112-fe7b-446c-b999-a68ba733a71e,Armillary Sphere,santa-fe,new-mexico,usa,osm_overpass,node/6813726310,,Armillary_sphere,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",67.00,65.00,0.55,0.90,f,f,f,t,f,-105.912898,35.6664062,
database,50,osm:node/6656620391,2697fdc7-4660-4778-88e6-a5293e4ae6e5,Armory for the Arts,santa-fe,new-mexico,usa,osm_overpass,node/6656620391,,,culture,culture,,needs_review,t,Cultural venue that signals local performance and public life.,56.00,72.50,0.75,0.60,f,t,f,f,f,-105.9368798,35.673419,
database,50,osm:way/477379231,40df4993-46ec-4a04-a314-487ae7f7b397,Arroyo en Medio,santa-fe,new-mexico,usa,osm_overpass,way/477379231,,,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,60.00,57.50,0.90,0.60,f,t,f,f,f,-105.95142030764912,35.64122131522994,
database,50,osm:way/477379228,a3ce94fd-7176-41ca-b372-84a7d16cc797,Arroyo en Medio,santa-fe,new-mexico,usa,osm_overpass,way/477379228,,,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,60.00,57.50,0.90,0.60,f,t,f,f,f,-105.94832182968406,35.63969471766496,
database,50,osm:way/477379232,75d42b1c-120e-4e06-9d0e-d22bd501c298,Arroyo en Medio,santa-fe,new-mexico,usa,osm_overpass,way/477379232,,,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,60.00,57.50,0.90,0.60,f,t,f,f,f,-105.94993559003281,35.641300880061664,
database,50,osm:way/1059169356,54b404b0-8fe6-4621-877e-215b928ba8bd,Arroyo Hondo Open Space,santa-fe,new-mexico,usa,osm_overpass,way/1059169356,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,70.00,0.75,0.60,f,f,t,f,f,-105.92518705698198,35.621744566220165,
database,50,osm:way/462166316,970119b3-e629-4fce-82e6-9c055ad5621d,Arroyo Trails,santa-fe,new-mexico,usa,osm_overpass,way/462166316,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,65.00,0.75,0.60,f,f,t,f,f,-105.93197363858128,35.66468989959259,
database,50,osm:node/11270781103,f7238b68-59bf-42df-b06d-c55891494b9a,Arte Libros Musica - Pase Ud,santa-fe,new-mexico,usa,osm_overpass,node/11270781103,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,60.00,0.90,0.60,f,f,f,f,f,-105.9397355,35.6872087,
database,50,osm:way/462245401,0e09752f-bc30-45ad-b2f4-7fac4f15ddb6,Art Is Gallery,santa-fe,new-mexico,usa,osm_overpass,way/462245401,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,70.00,0.90,0.60,f,f,f,f,f,-105.93180698281638,35.68302846921446,
database,50,osm:node/6548608769,4ff210d1-72ef-42b9-8b91-513e375fbddc,Art Vault,santa-fe,new-mexico,usa,osm_overpass,node/6548608769,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,67.50,0.90,0.60,f,f,f,f,f,-105.9481766,35.6825363,
database,50,osm:way/469252885,1c0aeb98-1e49-41c1-a017-41dabe683a67,Ashbaugh Park,santa-fe,new-mexico,usa,osm_overpass,way/469252885,Q49473037,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,67.50,0.75,0.60,f,f,t,f,f,-105.9721193758803,35.66834983153063,
database,50,osm:way/805292378,1276f777-536d-4e2f-8f6d-81ff440cafa9,Aspen,santa-fe,new-mexico,usa,osm_overpass,way/805292378,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,60.00,0.55,0.90,f,f,f,t,f,-105.96280646067038,35.684619406103536,
database,50,osm:node/357610899,551fcf40-bada-456d-8817-dc7733ae5ace,Atalaya Mountain,santa-fe,new-mexico,usa,osm_overpass,node/357610899,Q96372493,"Atalaya Mountain (Santa Fe County, New Mexico)",scenic,scenic,,needs_review,t,Landscape feature with clear scenic or ecological legibility.,61.00,67.50,0.55,0.90,f,f,t,f,f,-105.8763779,35.6677519,
database,50,osm:node/6946550897,56029346-f106-42be-afc5-99fd4bd4fd84,Atalaya Mountain,santa-fe,new-mexico,usa,osm_overpass,node/6946550897,,,scenic,scenic,,needs_review,t,Landscape feature with clear scenic or ecological legibility.,57.00,60.00,0.55,0.90,f,f,t,f,f,-105.8759584,35.6678285,
database,50,osm:way/726024883,fa128e66-f8f8-4817-a513-09f73dd6c221,Atalaya Park,santa-fe,new-mexico,usa,osm_overpass,way/726024883,Q49473112,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,85.00,0.75,0.60,f,f,t,f,f,-105.91214841080226,35.67257330023537,
database,50,osm:way/473175969,8e612a76-99f3-4ba3-a8d8-ff7d1d64a3a6,Atchison Topeka and Santa Fe Railway Depot Locomotive 5030,santa-fe,new-mexico,usa,osm_overpass,way/473175969,,,history,history,,needs_review,t,Historic site with strong local landscape context.,68.00,70.00,0.55,0.90,t,f,f,f,f,-105.95273092310552,35.6712237446156,
database,50,osm:node/4700373856,351dff09-cd98-4104-a3a0-f25581b3f94b,"Atchison, Topeka & Santa Fe Railway Depot",santa-fe,new-mexico,usa,osm_overpass,node/4700373856,,,history,history|civic,,needs_review,t,Historic site with strong local landscape context.,68.00,57.50,0.55,0.90,t,f,f,t,f,-105.9466773,35.6843146,
database,50,osm:node/11152035654,c5f5625b-d2f1-434f-ac4b-a19e606ca7a0,Aug 9 1837 Governor Perez,santa-fe,new-mexico,usa,osm_overpass,node/11152035654,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,64.00,57.50,0.55,0.60,t,f,f,f,f,-105.9380554,35.6880071,
database,50,osm:node/11270781099,522acaee-87b8-448d-aacc-68e18330ecbb,Barbara Bowles,santa-fe,new-mexico,usa,osm_overpass,node/11270781099,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,70.00,0.90,0.60,f,f,f,f,f,-105.9403005,35.6876169,
database,50,osm:node/11593718685,69c27d3e-b3ce-4752-bafc-7391c8b0b2c3,Barrio de Analco Historic District,santa-fe,new-mexico,usa,osm_overpass,node/11593718685,Q4863725,Barrio de Analco Historic District,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,64.00,62.50,0.90,0.60,f,t,f,f,f,-105.9379485,35.6836817,
database,50,osm:way/461696626,be5fd31c-7a41-4059-8df7-e7497139f5e2,Batts Building,santa-fe,new-mexico,usa,osm_overpass,way/461696626,,,history,history,,needs_review,t,Historic site with strong local landscape context.,68.00,72.50,0.55,0.90,t,f,f,f,f,-105.93920152593694,35.68752208970986,
database,50,osm:way/461767944,ed38f49e-e48e-428a-b31a-3beba35b048e,Benjamin M Read House,santa-fe,new-mexico,usa,osm_overpass,way/461767944,,,history,history,,needs_review,t,Historic site with strong local landscape context.,70.00,75.00,0.55,0.90,t,f,f,f,f,-105.94509607459999,35.68346968215171,
database,50,osm:node/8861430797,82d148a4-a00a-4419-8a86-a78fe083e971,Berlin Gathering Place Amphitheater,santa-fe,new-mexico,usa,osm_overpass,node/8861430797,,,culture,culture,,needs_review,t,Cultural venue that signals local performance and public life.,56.00,57.50,0.75,0.60,f,t,f,f,f,-105.9278134,35.6656866,
database,50,osm:node/11270721833,f74b238c-77b2-4a95-80dd-4df84700c973,Billy the Kid,santa-fe,new-mexico,usa,osm_overpass,node/11270721833,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,64.00,57.50,0.55,0.60,t,f,f,f,f,-105.9409427,35.6875651,
database,50,osm:way/886910974,71e35a37-eef1-459b-883d-e30a32140380,Birch Park,santa-fe,new-mexico,usa,osm_overpass,way/886910974,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,57.50,0.75,0.60,f,f,t,f,f,-106.04498902898513,35.65077729009801,
database,50,osm:node/10975634272,9e8bb8f1-6064-4bde-93e8-b8bd5e0ce4d5,Blue Raven,santa-fe,new-mexico,usa,osm_overpass,node/10975634272,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,70.00,0.90,0.60,f,f,f,f,f,-105.938516,35.6893915,
database,50,osm:node/4698366397,04c37ce4-792a-4ed0-a06c-feef53d20a46,Borrego House,santa-fe,new-mexico,usa,osm_overpass,node/4698366397,,,history,history,,needs_review,t,Historic site with strong local landscape context.,68.00,70.00,0.55,0.90,t,f,f,f,f,-105.9253555,35.6805623,
database,50,osm:node/4698366398,627d3b6d-a73f-4929-a880-e30d96821de8,Boyle House,santa-fe,new-mexico,usa,osm_overpass,node/4698366398,,,history,history,,needs_review,t,Historic site with strong local landscape context.,68.00,70.00,0.55,0.90,t,f,f,f,f,-105.9347503,35.6831335,
database,50,osm:way/720443327,71207023-6283-4238-9c5d-2ff4911e6357,Brother Edward de Reina Park,santa-fe,new-mexico,usa,osm_overpass,way/720443327,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,55.00,0.75,0.60,f,f,t,f,f,-105.95037351687913,35.64998896698251,
database,50,osm:node/6698267716,f22f45bd-d803-460a-a907-92a34cfd694a,Buckman Booster Station 3,santa-fe,new-mexico,usa,osm_overpass,node/6698267716,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,57.50,0.55,0.90,f,f,f,t,f,-106.073651,35.7378966,
database,50,osm:node/6698267741,b06ddace-e109-4bc4-a10b-c942d7548555,Buckman Booster Station 4,santa-fe,new-mexico,usa,osm_overpass,node/6698267741,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,55.00,0.55,0.90,f,f,f,t,f,-106.0167292,35.7124581,
database,50,osm:way/668347190,4d88ffed-8feb-4324-b759-0e93394df79a,Buckman Direct Diversion Water Treatment Plant,santa-fe,new-mexico,usa,osm_overpass,way/668347190,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,72.50,0.55,0.90,f,f,f,t,f,-106.0792912025028,35.694697725053956,
database,50,osm:node/6698267696,a77a3c27-b0d8-4b50-b645-4448147149cb,Buckman Well 13,santa-fe,new-mexico,usa,osm_overpass,node/6698267696,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,57.50,0.55,0.90,f,f,f,t,f,-106.073424,35.7377626,
database,50,osm:node/4582015049,4e9c9021-94d2-49bf-93ac-3e815bd23f52,Buffalo Dancer,santa-fe,new-mexico,usa,osm_overpass,node/4582015049,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,62.00,67.50,0.55,0.60,t,f,f,f,f,-105.9407258,35.6819021,
database,50,osm:node/12162590099,e6a04fe4-6772-4b62-8164-c95aa2a1a1e9,Buffalo Tracks Gallery,santa-fe,new-mexico,usa,osm_overpass,node/12162590099,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,70.00,0.90,0.60,f,f,f,f,f,-105.9343784,35.6832381,
database,50,osm:way/14609483,f42bb8ae-bec2-4343-90c6-38cbb2742ff8,Burro Alley,santa-fe,new-mexico,usa,osm_overpass,way/14609483,,,civic,civic,,needs_review,t,Civic space that helps explain the structure of public life.,66.00,72.50,0.90,0.75,f,f,f,t,f,-105.94087956660515,35.687981972494725,
database,50,osm:node/10705652719,597a88c1-39fa-43d9-9835-bfed0f01c39b,Cactus Rescue Project,santa-fe,new-mexico,usa,osm_overpass,node/10705652719,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,64.00,57.50,0.55,0.60,t,f,f,f,f,-105.9536231,35.645804,
database,50,osm:way/969769244,3a78f3cf-87d0-4679-8029-c52a6a51ac39,Calle Alvarado Park,santa-fe,new-mexico,usa,osm_overpass,way/969769244,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,62.50,0.75,0.60,f,f,t,f,f,-105.9332711821071,35.64948698760453,
database,50,osm:way/724457751,1d4ce378-fcac-4b39-a337-f628f6e8d955,Calle Nueva Vista Park,santa-fe,new-mexico,usa,osm_overpass,way/724457751,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,62.50,0.75,0.60,f,f,t,f,f,-106.03141329814734,35.64792410466461,
database,50,osm:way/318069396,a3d55408-d695-49a8-aaad-d55f0b86123a,Calvary,santa-fe,new-mexico,usa,osm_overpass,way/318069396,,,culture,culture,,needs_review,t,Ritual or religious site with strong cultural continuity.,58.00,65.00,0.55,0.60,f,t,f,f,f,-105.97930811736445,35.66286913550818,
database,50,osm:way/806362436,7280dbd6-e67a-439f-b911-8b40146fb193,Camino Alire Bridge,santa-fe,new-mexico,usa,osm_overpass,way/806362436,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,60.00,0.55,0.90,f,f,f,t,f,-105.96703256630771,35.68470229734797,
database,50,osm:way/474846291,5caaef8b-c7c7-4bfd-a5d4-fdbce9768af8,Candelero Park,santa-fe,new-mexico,usa,osm_overpass,way/474846291,Q49476779,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,72.50,0.75,0.60,f,f,t,f,f,-105.96088937716578,35.644960479980355,
database,50,osm:node/7777929594,89be0185-4cc7-4cf1-9f10-5bdcc857ea5c,Canine Water Fountain,santa-fe,new-mexico,usa,osm_overpass,node/7777929594,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,55.00,0.55,0.90,f,f,f,t,f,-105.9657548,35.694247,
database,50,osm:way/610265912,9fc665e4-11b1-43cc-9b62-78f48f6cf91d,Canyon Road Water Treatment Plant,santa-fe,new-mexico,usa,osm_overpass,way/610265912,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,77.50,0.55,0.90,f,f,f,t,f,-105.88993873716062,35.68823959971308,
database,50,osm:way/705359542,3cae28e9-5b1d-4c6d-b295-f3bb73d56340,Car Display,santa-fe,new-mexico,usa,osm_overpass,way/705359542,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,57.50,0.55,0.90,f,f,f,t,f,-106.02592116005282,35.63263823216893,
database,50,osm:node/4698366399,17075c39-a8fa-4ca9-80df-8d6d2ea76e62,Carlos Vierra House,santa-fe,new-mexico,usa,osm_overpass,node/4698366399,Q106809327,,history,history,,needs_review,t,Historic site with strong local landscape context.,72.00,77.50,0.55,0.90,t,f,f,f,f,-105.9372391,35.6743609,
database,50,osm:way/729397714,b7266616-9732-4e40-84cc-955664ddb866,Carole LaRoche,santa-fe,new-mexico,usa,osm_overpass,way/729397714,,,history,history,,needs_review,t,Museum or interpretive site with clear historical context.,64.00,70.00,0.75,0.75,t,f,f,f,f,-105.93204699803275,35.68303594795281,
database,50,osm:way/1181898327,7c5aa82e-c4b8-491a-b337-a83da6ffee45,Casitas de Santa Fe Park,santa-fe,new-mexico,usa,osm_overpass,way/1181898327,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,60.00,0.75,0.60,f,f,t,f,f,-106.02859763194624,35.63558293392039,
database,50,osm:node/9732209891,0c571241-28de-4554-aca1-48c1f5b123b9,Castle Rock,santa-fe,new-mexico,usa,osm_overpass,node/9732209891,,,scenic,scenic,,needs_review,t,Landscape feature with clear scenic or ecological legibility.,57.00,55.00,0.55,0.90,f,f,t,f,f,-105.8914644,35.6729511,
database,50,osm:node/4576232056,e492490a-7a30-401c-a041-b6324d5090a4,Casweck Gallery,santa-fe,new-mexico,usa,osm_overpass,node/4576232056,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,57.50,0.90,0.60,f,f,f,f,f,-105.9257188,35.6809229,
database,50,osm:node/4700353310,0e45de89-bf3d-4db5-b888-328345920406,Catancach House,santa-fe,new-mexico,usa,osm_overpass,node/4700353310,,,history,history,,needs_review,t,Historic site with strong local landscape context.,68.00,70.00,0.55,0.90,t,f,f,f,f,-105.950897,35.685306,
database,50,osm:way/198486901,dbdd21c2-1f00-4ee3-8d59-0f435b0b4432,Cathedral Park,santa-fe,new-mexico,usa,osm_overpass,way/198486901,Q96631064,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,70.00,0.75,0.60,f,f,t,f,f,-105.93622057938477,35.68696324668705,
database,50,osm:way/726571605,db4406e3-680e-4619-a6b8-08d998f0de45,Cedar South,santa-fe,new-mexico,usa,osm_overpass,way/726571605,,,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,60.00,57.50,0.90,0.60,f,t,f,f,f,-106.03134553808209,35.63452804550288,
database,50,osm:node/357606003,44f812b3-bfa2-4571-baa1-016c1d9bb12a,Cerro Gordo,santa-fe,new-mexico,usa,osm_overpass,node/357606003,Q49019464,,scenic,scenic,,needs_review,t,Landscape feature with clear scenic or ecological legibility.,61.00,72.50,0.55,0.90,f,f,t,f,f,-105.9066873,35.6872532,
database,50,osm:way/670079046,14ebfc3c-f996-433d-aaa6-8749039a67ce,Cerro Gordo Park,santa-fe,new-mexico,usa,osm_overpass,way/670079046,Q49477623,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,80.00,0.75,0.60,f,f,t,f,f,-105.90878534563002,35.682386329716074,
database,50,osm:way/705607657,a3a3f767-3c03-497c-8d97-6a26247a587e,Chavez Center Park,santa-fe,new-mexico,usa,osm_overpass,way/705607657,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,55.00,0.75,0.60,f,f,t,f,f,-105.99327299399441,35.6398208470599,
database,50,osm:way/462245390,ead7e53f-49b0-4576-b428-1eccd32270cc,Chiaroscuro Contemporary Art,santa-fe,new-mexico,usa,osm_overpass,way/462245390,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,70.00,0.90,0.60,f,f,f,f,f,-105.92926618853963,35.68179709025933,
database,50,osm:node/11270781101,25bb5a27-89e7-45bc-8362-fb238cbf4ad8,Christian Cheneau Gallery,santa-fe,new-mexico,usa,osm_overpass,node/11270781101,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,67.50,0.90,0.60,f,f,f,f,f,-105.9402986,35.6876446,
database,50,osm:way/475200903,16e07a46-48a7-4453-85c4-cfa7d2f3c364,Christ Lutheran Church,santa-fe,new-mexico,usa,osm_overpass,way/475200903,,,culture,culture,,needs_review,t,Ritual or religious site with strong cultural continuity.,58.00,75.00,0.55,0.60,f,t,f,f,f,-105.9399643954344,35.65616088611528,
database,50,osm:node/4743367994,c3ca24af-408a-4ca1-9326-be4cbd6c8dfc,Chuck Jones Studio Gallery,santa-fe,new-mexico,usa,osm_overpass,node/4743367994,Q133863145,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,60.00,72.50,0.90,0.60,f,f,f,f,f,-105.940292,35.6865482,
database,50,osm:way/831726320,ac5be826-88bc-45fa-a350-ab790e26e135,Cielo Azul Park,santa-fe,new-mexico,usa,osm_overpass,way/831726320,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,65.00,0.75,0.60,f,f,t,f,f,-106.02913746198362,35.6497542904982,
database,50,osm:way/477371648,c8eff4f8-3ae2-4328-b6fc-210562e3ebde,Cielo Vista Park,santa-fe,new-mexico,usa,osm_overpass,way/477371648,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,52.00,55.00,0.75,0.60,f,f,t,f,f,-105.98543558745135,35.66554729129105,
database,50,osm:node/6615398270,2ae1d763-4f3b-4def-867c-cc374d207976,City of Santa Fe Firefighters Museum,santa-fe,new-mexico,usa,osm_overpass,node/6615398270,,,history,history,,needs_review,t,Museum or interpretive site with clear historical context.,64.00,75.00,0.75,0.75,t,f,f,f,f,-105.971491,35.6660998,
database,50,osm:way/683631308,3314eec7-f322-4bee-983d-3361e406a9ec,City of Santa Fe Wastewater Management Division,santa-fe,new-mexico,usa,osm_overpass,way/683631308,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,70.00,0.55,0.90,f,f,f,t,f,-106.08548641514056,35.6312195181072,
